iter,auc,accuracy,precision,recall,f1,cost,tn,fp,fn,tp,params
1,0.9851678413522476,0.9586903512039828,0.4545786653677545,0.9032180014517299,0.6047792628594573,6479.0,109496,4479,400,3733,"{'n_estimators': 430, 'learning_rate': 0.05, 'num_leaves': 88, 'min_child_samples': 103, 'max_depth': 11, 'subsample': 0.9083553097830747, 'colsample_bytree': 0.9770483693257136, 'reg_alpha': 0.8586667464046862, 'reg_lambda': 0.11828468890737498, 'min_split_gain': 0.05641217300580459, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
2,0.985253505839798,0.9594100314965963,0.459333087240064,0.9032180014517299,0.6089722675367047,6394.0,109581,4394,400,3733,"{'n_estimators': 598, 'learning_rate': 0.05, 'num_leaves': 71, 'min_child_samples': 197, 'max_depth': 10, 'subsample': 0.9830581307550784, 'colsample_bytree': 0.8527449669862046, 'reg_alpha': 0.9989390789378038, 'reg_lambda': 0.6845310256427296, 'min_split_gain': 0.2713289968859072, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
3,0.9852695972534631,0.9595370339011752,0.460093896713615,0.9010404064843939,0.6091436983724544,6415.0,109605,4370,409,3724,"{'n_estimators': 546, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 163, 'max_depth': 11, 'subsample': 0.8044967784621395, 'colsample_bytree': 0.6641263177957476, 'reg_alpha': 0.6934448608221438, 'reg_lambda': 0.9930809745759686, 'min_split_gain': 0.0641404469092976, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
4,0.9839368609441275,0.9518068208758086,0.4140478553313485,0.9085410113718848,0.568853204059991,7204.0,108661,5314,378,3755,"{'n_estimators': 469, 'learning_rate': 0.05, 'num_leaves': 61, 'min_child_samples': 130, 'max_depth': 10, 'subsample': 0.6754592763036908, 'colsample_bytree': 0.9155312140770603, 'reg_alpha': 0.5065101860285434, 'reg_lambda': 0.044772307043002946, 'min_split_gain': 0.39529947565110823, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
5,0.9744335087343418,0.9175331052934602,0.2851888744157536,0.9005564964916526,0.43319366852886404,11384.0,104646,9329,411,3722,"{'n_estimators': 234, 'learning_rate': 0.05, 'num_leaves': 64, 'min_child_samples': 58, 'max_depth': 6, 'subsample': 0.7795037040478753, 'colsample_bytree': 0.6136326749895694, 'reg_alpha': 0.35250705680856076, 'reg_lambda': 0.895941053406887, 'min_split_gain': 0.26696152370587045, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
6,0.9723769687502306,0.9094472855352728,0.2656428571428571,0.8998306315025405,0.4101913638118348,12351.0,103694,10281,414,3719,"{'n_estimators': 443, 'learning_rate': 0.05, 'num_leaves': 116, 'min_child_samples': 91, 'max_depth': 4, 'subsample': 0.7248690011290716, 'colsample_bytree': 0.6150937241267617, 'reg_alpha': 0.8227240994376256, 'reg_lambda': 0.16350239592325833, 'min_split_gain': 0.1894419414287668, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
7,0.9826692375424357,0.9491736376875403,0.4000427624545649,0.9053955964190661,0.5549047230666568,7567.0,108363,5612,391,3742,"{'n_estimators': 327, 'learning_rate': 0.05, 'num_leaves': 106, 'min_child_samples': 75, 'max_depth': 9, 'subsample': 0.6513632349116659, 'colsample_bytree': 0.8130346052120838, 'reg_alpha': 0.3729610867289074, 'reg_lambda': 0.0052894239344171146, 'min_split_gain': 0.14740540831130755, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
8,0.9727666484435299,0.91176719612558,0.270979020979021,0.9000725864989112,0.41655002519455797,12073.0,103967,10008,413,3720,"{'n_estimators': 469, 'learning_rate': 0.05, 'num_leaves': 67, 'min_child_samples': 81, 'max_depth': 4, 'subsample': 0.9038984056092034, 'colsample_bytree': 0.9600813388651768, 'reg_alpha': 0.5661994137405315, 'reg_lambda': 0.044121803401026005, 'min_split_gain': 0.020945640650887887, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
9,0.9766478528391395,0.9241880312933924,0.303401027648642,0.9000725864989112,0.4538245699646212,10606.0,105434,8541,413,3720,"{'n_estimators': 486, 'learning_rate': 0.05, 'num_leaves': 120, 'min_child_samples': 64, 'max_depth': 5, 'subsample': 0.6965637790054345, 'colsample_bytree': 0.9402185769202549, 'reg_alpha': 0.1424238718275157, 'reg_lambda': 0.6853743830621954, 'min_split_gain': 0.35773517674924066, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
10,0.9819449965548347,0.9426287804382429,0.3702248846116076,0.9121703363174449,0.5266834311260129,8228.0,107562,6413,363,3770,"{'n_estimators': 432, 'learning_rate': 0.05, 'num_leaves': 44, 'min_child_samples': 190, 'max_depth': 10, 'subsample': 0.8461669427238626, 'colsample_bytree': 0.7398553495460503, 'reg_alpha': 0.11837455426055421, 'reg_lambda': 0.23817209065444778, 'min_split_gain': 0.2434018832738637, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
11,0.9718618513925044,0.9088376739932943,0.263880979498861,0.8969271715460925,0.4077883504757714,12471.0,103634,10341,426,3707,"{'n_estimators': 239, 'learning_rate': 0.05, 'num_leaves': 121, 'min_child_samples': 34, 'max_depth': 5, 'subsample': 0.6305036447985373, 'colsample_bytree': 0.6157257361642013, 'reg_alpha': 0.7474676440611189, 'reg_lambda': 0.2489238370735224, 'min_split_gain': 0.10320574208108602, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
12,0.9807260337578966,0.9387171063772141,0.3538548432646145,0.9095088313573675,0.5094876660341556,8734.0,107111,6864,374,3759,"{'n_estimators': 387, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 74, 'max_depth': 7, 'subsample': 0.9281567590824849, 'colsample_bytree': 0.9667514675898414, 'reg_alpha': 0.18040015992626635, 'reg_lambda': 0.36392875074822517, 'min_split_gain': 0.03410908615311303, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
13,0.9797588612501404,0.9352541741456971,0.34041780199818344,0.9068473263972902,0.4950141979792643,9187.0,106713,7262,385,3748,"{'n_estimators': 257, 'learning_rate': 0.05, 'num_leaves': 56, 'min_child_samples': 129, 'max_depth': 9, 'subsample': 0.9569036737657804, 'colsample_bytree': 0.8078258438469648, 'reg_alpha': 0.24782344520476096, 'reg_lambda': 0.26968330186764167, 'min_split_gain': 0.3013107238079755, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
14,0.9731480446676839,0.9125292105530531,0.27276726792784867,0.9000725864989112,0.418659613977829,11983.0,104057,9918,413,3720,"{'n_estimators': 518, 'learning_rate': 0.05, 'num_leaves': 73, 'min_child_samples': 185, 'max_depth': 4, 'subsample': 0.8704107188052028, 'colsample_bytree': 0.913797192716292, 'reg_alpha': 0.5009249170685319, 'reg_lambda': 0.4059500778096927, 'min_split_gain': 0.2074502615408722, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
15,0.9812559783555628,0.9415873607206963,0.36533592989289193,0.9078151463827728,0.521002568909255,8423.0,107457,6518,381,3752,"{'n_estimators': 466, 'learning_rate': 0.05, 'num_leaves': 88, 'min_child_samples': 81, 'max_depth': 7, 'subsample': 0.8321603716010963, 'colsample_bytree': 0.7456777163844928, 'reg_alpha': 0.9281340321014039, 'reg_lambda': 0.1710527357614121, 'min_split_gain': 0.28513596364073385, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
16,0.9838465409855789,0.9521962949165171,0.41599111604664074,0.9063634164045488,0.5702542243872736,7194.0,108716,5259,387,3746,"{'n_estimators': 373, 'learning_rate': 0.05, 'num_leaves': 81, 'min_child_samples': 136, 'max_depth': 11, 'subsample': 0.6037392897358462, 'colsample_bytree': 0.9063559602627334, 'reg_alpha': 0.5736206469699826, 'reg_lambda': 0.3825089107207994, 'min_split_gain': 0.18487128571291805, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
17,0.9837695654368322,0.9529075083821587,0.41974615298214085,0.9041858214372127,0.5733353789505984,7146.0,108809,5166,396,3737,"{'n_estimators': 521, 'learning_rate': 0.05, 'num_leaves': 80, 'min_child_samples': 37, 'max_depth': 8, 'subsample': 0.9781760416035715, 'colsample_bytree': 0.9733842990845514, 'reg_alpha': 0.3673921879747173, 'reg_lambda': 0.9640033859077174, 'min_split_gain': 0.4587397959063829, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
18,0.9818186577287851,0.9446862193924205,0.37891019172552975,0.9085410113718848,0.5347860143843908,8045.0,107820,6155,378,3755,"{'n_estimators': 480, 'learning_rate': 0.05, 'num_leaves': 76, 'min_child_samples': 35, 'max_depth': 7, 'subsample': 0.7725888970256201, 'colsample_bytree': 0.6185954303903123, 'reg_alpha': 0.826802135656539, 'reg_lambda': 0.07436384535303453, 'min_split_gain': 0.13774959322617847, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
19,0.9826802701383218,0.9473617367155485,0.39107254860965923,0.9051536414226954,0.5461712533761588,7785.0,108150,5825,392,3741,"{'n_estimators': 460, 'learning_rate': 0.05, 'num_leaves': 71, 'min_child_samples': 178, 'max_depth': 8, 'subsample': 0.9761709350754912, 'colsample_bytree': 0.8604480569450985, 'reg_alpha': 0.6252115625897013, 'reg_lambda': 0.41308201203601624, 'min_split_gain': 0.3336191588653369, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
20,0.9724366131246813,0.909650489382599,0.26599856836077307,0.8991047665134285,0.41053968955421755,12339.0,103721,10254,417,3716,"{'n_estimators': 278, 'learning_rate': 0.05, 'num_leaves': 109, 'min_child_samples': 198, 'max_depth': 5, 'subsample': 0.9407191170755498, 'colsample_bytree': 0.8153207676756916, 'reg_alpha': 0.9505820599376338, 'reg_lambda': 0.8600026005209778, 'min_split_gain': 0.21784864531086928, 'objective': 'binary', 'class_weight': 'balanced', 'n_jobs': -1, 'random_state': 42}"
