segment_type,segment,n,auc,accuracy,precision,recall,f1
amount,"(0.291, 43.95]",29607,0.984303096671973,0.9533556253588679,0.47722609766105867,0.915748031496063,0.6274615592123011
amount,"(43.95, 68.5]",29460,0.9860675016171235,0.9710115410726409,0.4520255863539446,0.8845618915159944,0.5983066792097836
amount,"(68.5, 125.0]",29818,0.9846312296009176,0.9641491716412905,0.43100411039342335,0.8800959232613909,0.5786361844698463
amount,"(125.0, 6085.23]",29223,0.9849051975289635,0.949012763918831,0.46511627906976744,0.916030534351145,0.6169665809768637
week,"(-0.001, 4.0]",29570,0.9834302398989897,0.9701724721001015,0.46153846153846156,0.8727272727272727,0.6037735849056604
week,"(4.0, 12.0]",33708,0.9867103513518501,0.9550848463272814,0.4718761796904492,0.9157509157509157,0.6228201295465869
week,"(12.0, 18.0]",26819,0.9837342852940145,0.9526827995078117,0.4453941120607787,0.9027911453320501,0.5965023847376788
week,"(18.0, 26.0]",28011,0.9860103747974203,0.9596944057691621,0.45563674321503134,0.9103232533889468,0.607304347826087
device,desktop,16992,0.9870290675675554,0.940560263653484,0.526394422310757,0.9471326164874552,0.6766965428937259
device,missing,90233,0.9808436958000154,0.9683486086021744,0.37976219364231983,0.839142091152815,0.5228867357166722
device,mobile,10883,0.9861838133285377,0.914729394468437,0.556056056056056,0.9644097222222222,0.7053968253968254
